date,id,mtd
202207,iEQDGLS,0.022
202208,iEQDGLS,-0.0015
202209,iEQDGLS,-0.0386
202210,iEQDGLS,0.0166
202211,iEQDGLS,0.0232
202212,iEQDGLS,-0.0013
202301,iEQDGLS,0.0221
202302,iEQDGLS,-0.0105
202303,iEQDGLS,0.0087
202304,iEQDGLS,0.0047
202305,iEQDGLS,0.003
202306,iEQDGLS,0.0219
202307,iEQDGLS,0.0206
202308,iEQDGLS,0.0005
202309,iEQDGLS,-0.0091
202310,iEQDGLS,-0.0075
202311,iEQDGLS,0.0329
202312,iEQDGLS,0.0215
202401,iEQDGLS,0.0136
202402,iEQDGLS,0.0287
202403,iEQDGLS,0.0267
202404,iEQDGLS,-0.0059
202405,iEQDGLS,0.0161
202406,iEQDGLS,0.0089
202407,iEQDGLS,0.0095
202408,iEQDGLS,0.0134
202409,iEQDGLS,0.0179
202410,iEQDGLS,-0.0041
202411,iEQDGLS,0.02
202412,iEQDGLS,-0.0089
202501,iEQDGLS,0.0261
202502,iEQDGLS,-0.0085
202503,iEQDGLS,-0.017
202504,iEQDGLS,0.0164
202505,iEQDGLS,0.0409
202506,iEQDGLS,0.0318
202507,iEQDGLS,0.0055
202508,iEQDGLS,0.0217
202509,iEQDGLS,0.0278
202510,iEQDGLS,0.0074
202511,iEQDGLS,0.0067
202512,iEQDGLS,0.0172
202601,iEQDGLS,0.0242
202602,iEQDGLS,0.0149
202603,iEQDGLS,-0.048
202604,iEQDGLS,0.0661
199801,iEQDGLSFUN,-0.0068
199802,iEQDGLSFUN,0.0196
199803,iEQDGLSFUN,0.0715
199804,iEQDGLSFUN,0.0096
199805,iEQDGLSFUN,0.0107
199806,iEQDGLSFUN,-0.0003
199807,iEQDGLSFUN,0.0073
199808,iEQDGLSFUN,0.03
199809,iEQDGLSFUN,0.0156
199810,iEQDGLSFUN,-0.0326
199811,iEQDGLSFUN,0.0008
199812,iEQDGLSFUN,0.0582
199901,iEQDGLSFUN,-0.0224
199902,iEQDGLSFUN,0.01
199903,iEQDGLSFUN,0.0459
199904,iEQDGLSFUN,0.0641
199905,iEQDGLSFUN,0.029
199906,iEQDGLSFUN,0.0376
199907,iEQDGLSFUN,0.0379
199908,iEQDGLSFUN,0.003
199909,iEQDGLSFUN,0.0314
199910,iEQDGLSFUN,-0.0007
199911,iEQDGLSFUN,-0.0021
199912,iEQDGLSFUN,0.0578
200001,iEQDGLSFUN,-0.0278
200002,iEQDGLSFUN,0.0324
200003,iEQDGLSFUN,0.0023
200004,iEQDGLSFUN,0.0006
200005,iEQDGLSFUN,0.0042
200006,iEQDGLSFUN,-0.0027
200007,iEQDGLSFUN,0.0031
200008,iEQDGLSFUN,0.0437
200009,iEQDGLSFUN,0.0058
200010,iEQDGLSFUN,-0.0007
200011,iEQDGLSFUN,0.0079
200012,iEQDGLSFUN,0.0386
200101,iEQDGLSFUN,0.0027
200102,iEQDGLSFUN,0.0229
200103,iEQDGLSFUN,-0.0001
200104,iEQDGLSFUN,0.013
200105,iEQDGLSFUN,0.0192
200106,iEQDGLSFUN,0.0114
200107,iEQDGLSFUN,-0.0025
200108,iEQDGLSFUN,0.0136
200109,iEQDGLSFUN,-0.0093
200110,iEQDGLSFUN,0.0156
200111,iEQDGLSFUN,0.041
