id,as_of,coverage_start,months,ann_return,ann_volatility,sharpe_ratio,return_over_vol,max_drawdown,pct_positive_months,best_month,worst_month,cumulative_since_inception,ann_return_2y,ann_return_3y,ann_return_5y,ann_return_10y,cum_return_1y,cum_return_ytd,cum_return_mtd,beta_sp500_si,alpha_sp500_ann_si,r_squared_sp500_si,correlation_sp500_si,window_months_si,jensens_alpha_sp500_ann_si,beta_sp500_excess_si,r_squared_sp500_excess_si,downside_capture_sp500_si,upside_capture_sp500_si,down_months_count_si,return_worst10_sp500_si,sp500_worst10_mean_si,beta_sp500_36m,alpha_sp500_ann_36m,r_squared_sp500_36m,correlation_sp500_36m,window_months_36m,jensens_alpha_sp500_ann_36m,beta_sp500_excess_36m,r_squared_sp500_excess_36m,downside_capture_sp500_36m,upside_capture_sp500_36m,down_months_count_36m,return_worst10_sp500_36m,sp500_worst10_mean_36m,q_2026Q2,q_2026Q1,q_2025Q4,q_2025Q3
iEVD,2026-07,2000-01,319,0.092831,0.068705,1.0497,1.3511,-0.212393,0.7085,0.072,-0.0996,9.589181,0.123515,0.11335,0.067453,0.079642,0.124767,0.066784,-0.014,0.2997,0.065953,0.4393,0.6628,319,0.051573,0.3001,0.4432,0.1704,0.4693,113,-0.02867,-0.10408,0.3791,0.039503,0.7651,0.8747,36,0.010848,0.3796,0.7618,0.266,0.4747,13,-0.00783,-0.02869,0.083935,-0.001849,0.02342,0.047533
iEVDESS,2026-07,2000-01,319,0.115932,0.085601,1.1052,1.3543,-0.165418,0.6865,0.1667,-0.0862,17.465844,0.119588,0.115815,0.058059,0.087089,0.137493,0.088442,0.0068,0.3759,0.082345,0.445,0.6671,319,0.069404,0.3754,0.448,0.2109,0.5832,113,-0.02905,-0.10408,0.4027,0.037582,0.7183,0.8475,36,0.010044,0.4032,0.7158,0.2759,0.487,13,-0.00855,-0.02869,0.090864,-0.00896,0.028464,0.024881
iEVDMER,2026-07,2000-01,319,0.095661,0.069024,1.0927,1.3859,-0.136255,0.7147,0.128,-0.105,10.342876,0.084429,0.090408,0.060803,0.058835,0.084192,0.041767,0.0021,0.1324,0.085084,0.0849,0.2914,319,0.067113,0.1314,0.0858,-0.0666,0.3279,113,-0.0147,-0.10408,0.1493,0.061261,0.3419,0.5847,36,0.02158,0.1489,0.3408,-0.0742,0.2787,13,0.00051,-0.02869,0.034165,0.00524,0.023669,0.031911
iEVDMEV,2026-07,2000-01,319,0.092081,0.070504,1.0146,1.306,-0.222794,0.7147,0.0731,-0.1,9.397911,0.131584,0.117981,0.06986,0.082175,0.131468,0.069386,-0.0225,0.3068,0.064668,0.4372,0.6612,319,0.050447,0.3072,0.4408,0.1842,0.4759,113,-0.02929,-0.10408,0.4268,0.035116,0.7543,0.8685,36,0.00871,0.4275,0.7516,0.3398,0.5168,13,-0.00942,-0.02869,0.09703,-0.002761,0.022777,0.053215
iGBM,2026-07,2000-01,319,0.07823,0.058906,0.9745,1.328,-0.094258,0.652,0.0688,-0.0502,6.405903,0.08057,0.072204,0.066967,0.047945,0.101025,0.041864,-0.0021,0.0142,0.078677,0.0013,0.0366,319,0.058096,0.017,0.0019,-0.1164,0.23,113,0.00496,-0.10408,0.0303,0.066966,0.0106,0.103,36,0.021492,0.0308,0.0107,-0.1308,0.2003,13,0.00277,-0.02869,0.020915,0.022667,0.024482,0.033077
iGBMCOM,2026-07,2006-01,247,0.122135,0.086152,1.1793,1.4177,-0.151422,0.668,0.1193,-0.1264,9.717499,0.01395,0.009094,0.06715,0.090175,0.037211,-0.01345,0.0057,0.0105,0.124847,0.0003,0.0184,247,0.105889,0.0125,0.0005,-0.1665,0.3521,80,0.0398,-0.10077,0.0361,0.00346,0.0097,0.0985,36,-0.039243,0.0364,0.0098,0.045,0.0512,13,0.00012,-0.02869,-0.005871,-0.013248,0.029843,0.015066
iGBMDSC,2026-07,2001-01,307,0.096221,0.055402,1.3697,1.7368,-0.116195,0.7036,0.0662,-0.045,9.488882,0.115727,0.090147,0.073525,0.056668,0.104661,0.025831,-0.0118,0.0767,0.089689,0.0438,0.2092,307,0.07188,0.0771,0.0444,-0.1056,0.3006,105,-0.00631,-0.10408,0.1146,0.068667,0.0831,0.2883,36,0.026954,0.1155,0.0831,0.0076,0.3092,13,-0.00205,-0.02869,0.024107,0.013644,0.034933,0.03592
iGBMMMA,2026-07,2000-01,319,0.098176,0.05049,1.5057,1.9445,-0.055,0.7179,0.0559,-0.055,11.055752,0.051218,0.058147,0.063729,0.056507,0.044486,0.000357,-0.0043,-0.0339,0.10294,0.0104,-0.102,319,0.081024,-0.0324,0.0096,-0.2438,0.2195,113,0.01122,-0.10408,0.1001,0.03967,0.0893,0.2988,36,-0.001445,0.0995,0.0886,-0.004,0.1994,13,-0.00131,-0.02869,0.034021,-0.028378,0.024674,0.013673
iGBMQNT,2026-07,2000-01,319,0.064216,0.069453,0.6491,0.9246,-0.107997,0.6019,0.0753,-0.0643,4.230479,0.058706,0.051928,0.053907,0.032411,0.095677,0.053675,-0.0016,-0.035,0.070149,0.0059,-0.0765,319,0.048698,-0.032,0.0049,-0.1405,0.1654,113,0.01356,-0.10408,-0.0448,0.061834,0.0156,-0.1247,36,0.013112,-0.0441,0.0148,-0.2047,0.1088,13,0.00675,-0.02869,0.018145,0.036555,0.014765,0.036415
iGBMRPM,2026-07,2008-01,223,0.080904,0.102006,0.676,0.7931,-0.245111,0.6368,0.0976,-0.1387,3.245006,0.095198,0.109812,0.086482,0.047274,0.161494,0.097236,0.0214,0.3421,0.043143,0.2778,0.5271,223,0.033429,0.3433,0.2776,0.2481,0.4406,74,-0.04348,-0.10077,-0.0138,0.113842,0.0014,-0.0378,36,0.06452,-0.0138,0.0014,-0.3657,0.2403,13,0.00741,-0.02869,0.016221,0.0571,0.017365,0.040807
iHFC,2026-07,2000-01,319,0.092681,0.048001,1.4759,1.9308,-0.1282,0.7586,0.048,-0.0759,9.550622,0.108994,0.106346,0.072025,0.07188,0.131425,0.060823,-0.0107,0.1968,0.074537,0.388,0.6229,319,0.057912,0.1976,0.3944,0.0588,0.3927,113,-0.01866,-0.10408,0.2589,0.055453,0.6813,0.8254,36,0.020894,0.2592,0.6756,0.1183,0.3981,13,-0.00372,-0.02869,0.06379,0.007997,0.029779,0.045551
iHFCEW,2026-07,2000-01,319,0.098399,0.052157,1.466,1.8866,-0.140078,0.7524,0.0542,-0.0743,11.121121,0.116752,0.112339,0.072744,0.074996,0.141816,0.065305,-0.0146,0.2365,0.0765,0.4746,0.6889,319,0.060691,0.2369,0.4819,0.0989,0.4398,113,-0.02181,-0.10408,0.31,0.051478,0.7223,0.8499,36,0.019362,0.3105,0.7176,0.1858,0.4418,13,-0.00539,-0.02869,0.076032,0.004699,0.031312,0.051438
iMFT,2026-07,2000-01,319,0.072152,0.093348,0.5855,0.7729,-0.153617,0.5831,0.094,-0.0685,5.372653,0.017439,0.020134,0.041303,0.028379,0.159314,0.064315,-0.0064,-0.1013,0.086698,0.0272,-0.1648,319,0.063622,-0.0988,0.0259,-0.1825,0.1755,113,0.02836,-0.10408,0.0347,0.016164,0.0039,0.0624,36,-0.02721,0.0358,0.0041,0.2021,0.1493,13,-0.00419,-0.02869,0.010193,0.060363,0.039084,0.051956
iMFTNTF,2026-07,2000-01,319,0.065397,0.071765,0.6513,0.9113,-0.132982,0.5705,0.079643,-0.053118,4.387009,0.034153,0.01211,0.014708,0.003829,0.099604,0.098681,-0.0051,-0.1243,0.080231,0.0692,-0.2631,319,0.056882,-0.1228,0.0682,-0.2706,0.0872,113,0.018943,-0.10408,-0.175,0.047296,0.1502,-0.3876,36,-0.006736,-0.1737,0.1453,-0.275,-0.0486,13,0.006182,-0.02869,-0.006982,0.112077,-0.005312,0.018562
iMFTTFO,2026-07,2000-01,319,0.073866,0.117681,0.4994,0.6277,-0.186109,0.5768,0.11081,-0.089292,5.64898,0.016329,0.025116,0.051867,0.037475,0.200039,0.064496,-0.007,-0.0986,0.090915,0.0162,-0.1272,319,0.067769,-0.0956,0.0152,-0.1494,0.213,113,0.033355,-0.10408,0.1004,0.010387,0.0199,0.141,36,-0.029911,0.1017,0.0203,0.3615,0.228,13,-0.007684,-0.02869,0.014754,0.056413,0.054112,0.068176
iMST,2026-07,2000-01,319,0.091213,0.041981,1.6606,2.1728,-0.150493,0.8088,0.0442,-0.0636,9.180433,0.105907,0.104101,0.077307,0.075834,0.120703,0.058253,-0.0056,0.133,0.079055,0.2315,0.4811,319,0.061073,0.1335,0.2386,-0.0422,0.3217,113,-0.01527,-0.10408,0.1375,0.076734,0.479,0.6921,36,0.035914,0.1376,0.4707,-0.0951,0.3145,13,0.00198,-0.02869,0.047464,0.01599,0.030991,0.034882
iQNT,2026-07,2003-01,283,0.062217,0.04548,0.9645,1.368,-0.191808,0.682,0.0377,-0.0575,3.151441,0.082782,0.109423,0.094598,0.057218,0.08718,0.038951,0.0153,0.1324,0.046518,0.1778,0.4217,283,0.030848,0.133,0.1771,-0.0056,0.2333,91,-0.01765,-0.10077,0.0689,0.096386,0.0429,0.2072,36,0.051867,0.0675,0.042,-0.2438,0.2812,13,0.00387,-0.02869,0.017854,0.005346,0.031508,-0.008469
iRVI,2026-07,2000-01,319,0.087187,0.033942,1.953,2.5687,-0.114236,0.8307,0.0395,-0.0524,8.227487,0.095784,0.09202,0.070878,0.061051,0.102821,0.047357,-0.0078,0.096,0.078358,0.1846,0.4296,319,0.059636,0.0964,0.1942,-0.0726,0.2863,113,-0.00858,-0.10408,0.1033,0.071573,0.4108,0.6409,36,0.029361,0.1034,0.4007,-0.1173,0.2676,13,0.00272,-0.02869,0.039241,0.015732,0.026008,0.03427
iVOL,2026-07,2000-01,319,0.084976,0.050014,1.289,1.699,-0.046355,0.6959,0.069,-0.0358,7.741377,0.047423,0.041141,0.0433,0.038145,0.060722,0.041791,0.0036,-0.0642,0.092648,0.038,-0.195,319,0.070373,-0.0637,0.0386,-0.2697,0.1548,113,0.0107,-0.10408,-0.1154,0.063947,0.3905,-0.6249,36,0.011995,-0.1152,0.3749,-0.3448,0.0208,13,0.00712,-0.02869,-0.000907,0.038996,0.003174,0.010382
